# ARIO daily close price, USD.
#
# PROVENANCE. Exported from CoinGecko's ar-io-network market page and verified
# against their API on two separate dates before it was loaded. Only the price
# column is kept: CoinGecko's implied circulating supply is 616.9M ARIO against
# the 567.2M this project publishes, a ~9% disagreement in definition, so their
# market cap and volume must not be presented next to our own `circulating`.
#
# ALIGNMENT — the reason this file exists rather than a live API call. In the
# source export, market cap is the day's OPEN while price is the day's CLOSE;
# the two columns are offset by a row. `close_date` below is the day the price
# CLOSED, which is NOT the day CoinGecko's /history?date=D reports it under —
# that endpoint returns the 00:00 snapshot of D, i.e. the close of D-1.
# Confirmed: /history?date=18-08-2026 returns 0.00107702, the close of 08-17.
# Getting this off by one day is worth up to 23% on a single row here.
#
# 2026-08-25 is deliberately absent: the day had not closed. Its epoch carries a
# null price rather than an approximation.
close_date,price_usd
2026-06-08,0.00226646
2026-06-09,0.00226605
2026-06-10,0.00204703
2026-06-11,0.00221203
2026-06-12,0.00242891
2026-06-13,0.00210417
2026-06-14,0.00210315
2026-06-15,0.00209621
2026-06-16,0.00200057
2026-06-17,0.00213919
2026-06-18,0.00110327
2026-06-19,0.00091779
2026-06-20,0.00110064
2026-06-21,0.00110543
2026-06-22,0.00143033
2026-06-23,0.00136152
2026-06-24,0.00135023
2026-06-25,0.00133874
2026-06-26,0.00133193
2026-06-27,0.00133278
2026-06-28,0.00134723
2026-06-29,0.00137346
2026-06-30,0.00134191
2026-07-01,0.00122549
2026-07-02,0.00133547
2026-07-03,0.00132617
2026-07-04,0.00155767
2026-07-05,0.00155573
2026-07-06,0.00150784
2026-07-07,0.00135963
2026-07-08,0.00134602
2026-07-09,0.00129019
2026-07-10,0.00129353
2026-07-11,0.00130035
2026-07-12,0.00129587
2026-07-13,0.00131109
2026-07-14,0.00130075
2026-07-15,0.00136778
2026-07-16,0.00140626
2026-07-17,0.00141429
2026-07-18,0.00142690
2026-07-19,0.00141276
2026-07-20,0.00141534
2026-07-21,0.00135076
2026-07-22,0.00135041
2026-07-23,0.00135402
2026-07-24,0.00135265
2026-07-25,0.00135349
2026-07-26,0.00134766
2026-07-27,0.00136496
2026-07-28,0.00134980
2026-07-29,0.00122715
2026-07-30,0.00122702
2026-07-31,0.00110592
2026-08-01,0.00110740
2026-08-02,0.00108884
2026-08-03,0.00109739
2026-08-04,0.00115303
2026-08-05,0.00112269
2026-08-06,0.00110619
2026-08-07,0.00112021
2026-08-08,0.00106562
2026-08-09,0.00106059
2026-08-10,0.00099148
2026-08-11,0.00109915
2026-08-12,0.00107125
2026-08-13,0.00089571
2026-08-14,0.00096507
2026-08-15,0.00103243
2026-08-16,0.00106347
2026-08-17,0.00107702
2026-08-18,0.00082664
2026-08-19,0.00077762
2026-08-20,0.00063200
2026-08-21,0.00051830
2026-08-22,0.00053694
2026-08-23,0.00069694
2026-08-24,0.00078441
